Strike,Expiry,Type,Symbol,Last,Bid,Ask,Chg,PctChg,Vol,Open_Int,IV,Root,IsNonstandard,Underlying,Underlying_Price,Quote_Time,Last_Trade_Date,JSON,Iv
320.0,2023-09-15,put,META230915P00320000,23.0,21.5,23.5,3.0,15.000001,45.0,2306.0,0.47119669433593747,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 19:53:07,"{'contractSymbol': 'META230915P00320000', 'strike': 320.0, 'currency': 'USD', 'lastPrice': 23.0, 'change': 3.0, 'percentChange': 15.000001, 'volume': 45, 'openInterest': 2306, 'bid': 21.5, 'ask': 23.5, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694202787, 'impliedVolatility': 0.47119669433593747, 'inTheMoney': True}",0.47119669433593747
322.5,2023-09-15,call,META230915C00322500,0.28,0.26,0.3,-0.22,-44.0,718.0,997.0,0.34570966796874997,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 19:59:42,"{'contractSymbol': 'META230915C00322500', 'strike': 322.5, 'currency': 'USD', 'lastPrice': 0.28, 'change': -0.22, 'percentChange': -44.0, 'volume': 718, 'openInterest': 997, 'bid': 0.26, 'ask': 0.3, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694203182, 'impliedVolatility': 0.34570966796874997, 'inTheMoney': False}",0.34570966796874997
322.5,2023-09-15,put,META230915P00322500,21.7,23.6,25.95,-1.6499996,-7.0663795,13.0,14.0,0.4997608618164063,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 16:22:24,"{'contractSymbol': 'META230915P00322500', 'strike': 322.5, 'currency': 'USD', 'lastPrice': 21.7, 'change': -1.6499996, 'percentChange': -7.0663795, 'volume': 13, 'openInterest': 14, 'bid': 23.6, 'ask': 25.95, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694190144, 'impliedVolatility': 0.4997608618164063, 'inTheMoney': True}",0.4997608618164063
325.0,2023-09-15,call,META230915C00325000,0.24,0.21,0.24,-0.17999999,-42.857143,1285.0,5898.0,0.35645174804687496,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 19:59:06,"{'contractSymbol': 'META230915C00325000', 'strike': 325.0, 'currency': 'USD', 'lastPrice': 0.24, 'change': -0.17999999, 'percentChange': -42.857143, 'volume': 1285, 'openInterest': 5898, 'bid': 0.21, 'ask': 0.24, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694203146, 'impliedVolatility': 0.35645174804687496, 'inTheMoney': False}",0.35645174804687496
325.0,2023-09-15,put,META230915P00325000,23.81,26.1,28.4,-5.3900013,-18.458908,95.0,1999.0,0.5271043383789062,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 16:15:22,"{'contractSymbol': 'META230915P00325000', 'strike': 325.0, 'currency': 'USD', 'lastPrice': 23.81, 'change': -5.3900013, 'percentChange': -18.458908, 'volume': 95, 'openInterest': 1999, 'bid': 26.1, 'ask': 28.4, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694189722, 'impliedVolatility': 0.5271043383789062, 'inTheMoney': True}",0.5271043383789062
330.0,2023-09-15,call,META230915C00330000,0.16,0.15,0.18,-0.09,-36.0,1608.0,9196.0,0.38672488281249995,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 19:59:57,"{'contractSymbol': 'META230915C00330000', 'strike': 330.0, 'currency': 'USD', 'lastPrice': 0.16, 'change': -0.09, 'percentChange': -36.0, 'volume': 1608, 'openInterest': 9196, 'bid': 0.15, 'ask': 0.18, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694203197, 'impliedVolatility': 0.38672488281249995, 'inTheMoney': False}",0.38672488281249995
335.0,2023-09-15,call,META230915C00335000,0.12,0.09,0.13,-0.050000004,-29.411766,955.0,4247.0,0.411138701171875,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 19:55:44,"{'contractSymbol': 'META230915C00335000', 'strike': 335.0, 'currency': 'USD', 'lastPrice': 0.12, 'change': -0.050000004, 'percentChange': -29.411766, 'volume': 955, 'openInterest': 4247, 'bid': 0.09, 'ask': 0.13, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694202944, 'impliedVolatility': 0.411138701171875, 'inTheMoney': False}",0.411138701171875
340.0,2023-09-15,call,META230915C00340000,0.08,0.05,0.1,-0.04,-33.333336,831.0,5503.0,0.437505625,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 19:50:39,"{'contractSymbol': 'META230915C00340000', 'strike': 340.0, 'currency': 'USD', 'lastPrice': 0.08, 'change': -0.04, 'percentChange': -33.333336, 'volume': 831, 'openInterest': 5503, 'bid': 0.05, 'ask': 0.1, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694202639, 'impliedVolatility': 0.437505625, 'inTheMoney': False}",0.437505625
345.0,2023-09-15,call,META230915C00345000,0.06,0.03,0.08,-0.02,-25.0,843.0,2339.0,0.46484910156250003,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 19:52:39,"{'contractSymbol': 'META230915C00345000', 'strike': 345.0, 'currency': 'USD', 'lastPrice': 0.06, 'change': -0.02, 'percentChange': -25.0, 'volume': 843, 'openInterest': 2339, 'bid': 0.03, 'ask': 0.08, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694202759, 'impliedVolatility': 0.46484910156250003, 'inTheMoney': False}",0.46484910156250003
350.0,2023-09-15,call,META230915C00350000,0.05,0.05,0.06,-0.009999998,-16.666664,589.0,7664.0,0.48633326171875,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 19:56:48,"{'contractSymbol': 'META230915C00350000', 'strike': 350.0, 'currency': 'USD', 'lastPrice': 0.05, 'change': -0.009999998, 'percentChange': -16.666664, 'volume': 589, 'openInterest': 7664, 'bid': 0.05, 'ask': 0.06, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694203008, 'impliedVolatility': 0.48633326171875, 'inTheMoney': False}",0.48633326171875
355.0,2023-09-15,call,META230915C00355000,0.05,0.04,0.05,0.010000002,25.000006,1179.0,3935.0,0.50586431640625,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 19:55:18,"{'contractSymbol': 'META230915C00355000', 'strike': 355.0, 'currency': 'USD', 'lastPrice': 0.05, 'change': 0.010000002, 'percentChange': 25.000006, 'volume': 1179, 'openInterest': 3935, 'bid': 0.04, 'ask': 0.05, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694202918, 'impliedVolatility': 0.50586431640625, 'inTheMoney': False}",0.50586431640625
360.0,2023-09-15,call,META230915C00360000,0.03,0.02,0.04,-0.01,-25.0,1813.0,4132.0,0.51758294921875,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 19:33:42,"{'contractSymbol': 'META230915C00360000', 'strike': 360.0, 'currency': 'USD', 'lastPrice': 0.03, 'change': -0.01, 'percentChange': -25.0, 'volume': 1813, 'openInterest': 4132, 'bid': 0.02, 'ask': 0.04, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694201622, 'impliedVolatility': 0.51758294921875, 'inTheMoney': False}",0.51758294921875
365.0,2023-09-15,call,META230915C00365000,0.02,0.01,0.03,0.0,0.0,717.0,1249.0,0.5312546875,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 19:27:28,"{'contractSymbol': 'META230915C00365000', 'strike': 365.0, 'currency': 'USD', 'lastPrice': 0.02, 'change': 0.0, 'percentChange': 0.0, 'volume': 717, 'openInterest': 1249, 'bid': 0.01, 'ask': 0.03, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694201248, 'impliedVolatility': 0.5312546875, 'inTheMoney': False}",0.5312546875
370.0,2023-09-15,call,META230915C00370000,0.02,0.0,0.02,0.01,100.0,75.0,986.0,0.523442265625,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 19:45:01,"{'contractSymbol': 'META230915C00370000', 'strike': 370.0, 'currency': 'USD', 'lastPrice': 0.02, 'change': 0.01, 'percentChange': 100.0, 'volume': 75, 'openInterest': 986, 'bid': 0.0, 'ask': 0.02, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694202301, 'impliedVolatility': 0.523442265625, 'inTheMoney': False}",0.523442265625
375.0,2023-09-15,call,META230915C00375000,0.01,0.0,0.02,0.0,0.0,54.0,2042.0,0.5546919531250001,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 17:06:43,"{'contractSymbol': 'META230915C00375000', 'strike': 375.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 54, 'openInterest': 2042, 'bid': 0.0, 'ask': 0.02, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694192803, 'impliedVolatility': 0.5546919531250001, 'inTheMoney': False}",0.5546919531250001
380.0,2023-09-15,call,META230915C00380000,0.01,0.0,0.02,0.0,0.0,129.0,2620.0,0.585941640625,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 19:34:53,"{'contractSymbol': 'META230915C00380000', 'strike': 380.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 129, 'openInterest': 2620, 'bid': 0.0, 'ask': 0.02, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694201693, 'impliedVolatility': 0.585941640625, 'inTheMoney': False}",0.585941640625
